ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Idle,10,1,,,
,,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/Warrior_Sheet-Effect.png,0,0,69,44,0
graphics/Warrior_Sheet-Effect.png,69,0,69,44,0
graphics/Warrior_Sheet-Effect.png,138,0,69,44,0
graphics/Warrior_Sheet-Effect.png,207,0,69,44,0
graphics/Warrior_Sheet-Effect.png,276,0,69,44,0
graphics/Warrior_Sheet-Effect.png,345,0,69,44,0
graphics/Warrior_Sheet-Effect.png,0,44,69,44,0
graphics/Warrior_Sheet-Effect.png,69,44,69,44,0
graphics/Warrior_Sheet-Effect.png,138,44,69,44,0
graphics/Warrior_Sheet-Effect.png,207,44,69,44,0
graphics/Warrior_Sheet-Effect.png,276,44,69,44,0
graphics/Warrior_Sheet-Effect.png,345,44,69,44,0
graphics/Warrior_Sheet-Effect.png,0,88,69,44,0
graphics/Warrior_Sheet-Effect.png,69,88,69,44,0
graphics/Warrior_Sheet-Effect.png,138,88,69,44,0
graphics/Warrior_Sheet-Effect.png,207,88,69,44,0
graphics/Warrior_Sheet-Effect.png,276,88,69,44,0
graphics/Warrior_Sheet-Effect.png,345,88,69,44,0
graphics/Warrior_Sheet-Effect.png,0,132,69,44,0
graphics/Warrior_Sheet-Effect.png,69,132,69,44,0
graphics/Warrior_Sheet-Effect.png,138,132,69,44,0
graphics/Warrior_Sheet-Effect.png,207,132,69,44,0
graphics/Warrior_Sheet-Effect.png,276,132,69,44,0
graphics/Warrior_Sheet-Effect.png,345,132,69,44,0
graphics/Warrior_Sheet-Effect.png,0,176,69,44,0
graphics/Warrior_Sheet-Effect.png,69,176,69,44,0
graphics/Warrior_Sheet-Effect.png,138,176,69,44,0
graphics/Warrior_Sheet-Effect.png,207,176,69,44,0
graphics/Warrior_Sheet-Effect.png,276,176,69,44,0
graphics/Warrior_Sheet-Effect.png,345,176,69,44,0
graphics/Warrior_Sheet-Effect.png,0,220,69,44,0
graphics/Warrior_Sheet-Effect.png,69,220,69,44,0
graphics/Warrior_Sheet-Effect.png,138,220,69,44,0
graphics/Warrior_Sheet-Effect.png,207,220,69,44,0
graphics/Warrior_Sheet-Effect.png,276,220,69,44,0
graphics/Warrior_Sheet-Effect.png,345,220,69,44,0
graphics/Warrior_Sheet-Effect.png,0,264,69,44,0
graphics/Warrior_Sheet-Effect.png,69,264,69,44,0
graphics/Warrior_Sheet-Effect.png,138,264,69,44,0
graphics/Warrior_Sheet-Effect.png,207,264,69,44,0
graphics/Warrior_Sheet-Effect.png,276,264,69,44,0
graphics/Warrior_Sheet-Effect.png,345,264,69,44,0
graphics/Warrior_Sheet-Effect.png,0,308,69,44,0
graphics/Warrior_Sheet-Effect.png,69,308,69,44,0
graphics/Warrior_Sheet-Effect.png,138,308,69,44,0
graphics/Warrior_Sheet-Effect.png,207,308,69,44,0
graphics/Warrior_Sheet-Effect.png,276,308,69,44,0
graphics/Warrior_Sheet-Effect.png,345,308,69,44,0
graphics/Warrior_Sheet-Effect.png,0,352,69,44,0
graphics/Warrior_Sheet-Effect.png,69,352,69,44,0
graphics/Warrior_Sheet-Effect.png,138,352,69,44,0
graphics/Warrior_Sheet-Effect.png,207,352,69,44,0
graphics/Warrior_Sheet-Effect.png,276,352,69,44,0
graphics/Warrior_Sheet-Effect.png,345,352,69,44,0
graphics/Warrior_Sheet-Effect.png,0,396,69,44,0
graphics/Warrior_Sheet-Effect.png,69,396,69,44,0
graphics/Warrior_Sheet-Effect.png,138,396,69,44,0
graphics/Warrior_Sheet-Effect.png,207,396,69,44,0
graphics/Warrior_Sheet-Effect.png,276,396,69,44,0
graphics/Warrior_Sheet-Effect.png,345,396,69,44,0
graphics/Warrior_Sheet-Effect.png,0,440,69,44,0
graphics/Warrior_Sheet-Effect.png,69,440,69,44,0
graphics/Warrior_Sheet-Effect.png,138,440,69,44,0
graphics/Warrior_Sheet-Effect.png,207,440,69,44,0
graphics/Warrior_Sheet-Effect.png,276,440,69,44,0
graphics/Warrior_Sheet-Effect.png,345,440,69,44,0
