ID,FPS,"LoopType (0: Single, 1: Loop)",,,
Attack,12,1,,,
"				",,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT,"FLIPX (0:Fale, 1:True)"
graphics/HeroKnight.png,800,55,100,55,0
graphics/HeroKnight.png,900,55,100,55,0
graphics/HeroKnight.png,0,110,100,55,0
graphics/HeroKnight.png,100,110,100,55,0
graphics/HeroKnight.png,200,110,100,55,0
graphics/HeroKnight.png,300,110,100,55,0
graphics/HeroKnight.png,400,110,100,55,0
graphics/HeroKnight.png,500,110,100,55,0
graphics/HeroKnight.png,600,110,100,55,0
graphics/HeroKnight.png,700,110,100,55,0
graphics/HeroKnight.png,800,110,100,55,0
graphics/HeroKnight.png,900,110,100,55,0
